id,domain,opportunity,payer,verdict,reason,basis
54,HR,Recruiting sourcing agent,Agencies,KILL,Crowded; platform ToS risk (LinkedIn),judgment
55,HR,Employee time-tracking compliance (registro de jornada),SMEs,KILL,Commodity apps,judgment
56,Legal,Contract review for SMEs,SMEs,KILL,Legal-advice liability; incumbents,judgment
57,Legal,Law-firm intake agent,Law firms,KILL,Crowded; regulated,judgment
58,Legal,Court-deadline tracking (LexNET) for small firms,Lawyers,KILL,Integration access unclear; incumbents,judgment
59,Healthcare,AI receptionist for clinics (Spain),Dental/physio clinics,KILL,"Commoditised at EUR 29-55/mo (Ringuno, Clinicbot, Clara)",evidence S22
60,Healthcare,Medical billing denials (US),US providers,KILL,HIPAA; US distribution,judgment
61,Healthcare,Clinic review/reputation management,Clinics,KILL,Commodity,judgment
62,Sales,B2B leads from BORME new companies,Service providers,KILL,"Free/near-free (LibreBORME, Telegram bots, Apify)",evidence S23
63,Sales,Cold-email outbound agency,SMEs,KILL,LSSI consent rules for commercial email in Spain; spam risk,judgment
64,Sales,Meeting-booking SDR agent,B2B SaaS,KILL,Crowded; deliverability arms race,judgment
65,Sales,CRM data hygiene service,SMEs,KILL,Low pain for small firms,judgment
66,Sales,Renewal/upsell alerts for agencies,Agencies,KILL,Weak pain,judgment
67,Marketing,SEO content agency with AI,SMEs,KILL,Race to the bottom,judgment
68,Marketing,Local Google Business Profile management,Local SMEs,KILL,Commodity,judgment
69,Marketing,Ad creative generation,Ecommerce,KILL,Platform-native tools,judgment
70,Operations,Automation audits for SMEs (generic),SMEs,MERGED into S1/S2,Generic audits sell poorly; vertical audits sell,judgment
71,Operations,Procurement spend analysis for mid-size firms,CFOs,SURVIVOR S14,"Recovery-audit model (duplicate/overpayments) exists internationally; Spain demand UNVERIFIED",judgment
72,Operations,Telecom expense audit,SMEs,KILL,Small savings; operator bundles,judgment
73,Operations,SaaS spend management,Mid-size firms,KILL,Crowded (Vendr etc.),judgment
74,Operations,Utility bill (water/gas) audit,SMEs,MERGED into S2,Same channel,judgment
75,Operations,Fleet fuel card anomaly detection,Transport SMEs,KILL,Card providers offer it,judgment
76,Construction,Subcontractor document compliance (TC2/REA),Construction firms,KILL,Established CAE platforms (e.g. coordination tools); UNVERIFIED gap,judgment
77,Construction,Certificaciones de obra (progress billing) automation,Contractors,KILL,Deep ERP integration; long sales,judgment
78,Construction,Bid cost estimation from plans,Contractors,KILL,Hard technically; liability,judgment
79,Hospitality,Restaurant supplier invoice + food cost control,Restaurants,MERGED into S1/S12,Same extraction core; sells via gestorías,judgment
80,Hospitality,Hotel rate parity monitoring,Hotels,KILL,Channel managers include it,judgment
81,Hospitality,Review response agent,Hotels/restaurants,KILL,Commodity,judgment
82,Dev tools,MCP server building service for SaaS vendors,SaaS companies,KILL,Demand real but competitive; no distribution edge from here,judgment
83,Dev tools,AI agent eval/testing SaaS,AI teams,KILL,"Crowded, well funded incumbents",judgment
84,Dev tools,Prompt-injection scanning,AI teams,KILL,"Crowded; big vendors",judgment
85,Dev tools,LLM cost observability,AI teams,KILL,Crowded,judgment
86,Dev tools,Legacy code migration (COBOL etc.),Enterprises,KILL,Enterprise sales cycle,judgment
87,Data,Spanish company financials (depósito de cuentas) extraction,Credit analysts,KILL,"Incumbents (eInforma, Axesor, Iberinform)",judgment
88,Data,Spanish regulatory change monitor (BOE) by sector,Compliance teams,KILL,Many free/paid alerts; low differentiation,judgment
89,Data,Commodity/energy price intelligence for SMEs,SMEs,KILL,Free public OMIE data; low WTP,judgment
90,Data,Retail shelf-price scraping,CPG brands,KILL,ToS/legal risk; incumbents,judgment
91,Data,Job-postings intelligence,Recruiters,KILL,Incumbents,judgment
92,Fintech,Invoice factoring marketplace,SMEs,KILL,Regulated; capital intensive,judgment
93,Fintech,Late-payment collection (reclamación de impagos) automation,SMEs,KILL,Regulated debt collection; reputational risk,judgment
94,Fintech,Treasury cash-forecast for SMEs,SMEs,KILL,Banks/ERPs include it,judgment
95,Fintech,Crypto tax reports (Spain),Individuals,KILL,Regulated advice; incumbents,judgment
96,Education,Exam-prep (oposiciones) AI tutor,Candidates,KILL,Crowded academies; B2C CAC,judgment
97,Agriculture,CAP/PAC subsidy paperwork,Farmers,KILL,Agricultural cooperatives and gestorías dominate,judgment
98,Agriculture,Irrigation energy optimisation,Farms,MERGED into S2,Same power-audit logic (6.1TD),judgment
99,Automotive,Workshop parts invoice automation,Car workshops,MERGED into S1,Sell via gestorías,judgment
100,Public sector,Municipal fine/tax appeal automation,Individuals,KILL,Legal service; low ticket,judgment
101,Energy,Energy communities (comunidades energéticas) admin,Coops,KILL,Small market; grant-dependent,judgment
102,Trading,Prop-firm rule-compliance audit of trade history,Prop traders,MERGED into S6,Same buyer and tooling,judgment
