id,area,opportunity,payer,money_already_spent,verdict,reason
55,Legal,Resumen de sentencias por materia,Despachos,YES,KILL,"Aranzadi, vLex y Tirant ya lo hacen"
56,RR. HH.,Criba de candidatos,Empresas,YES,KILL,Riesgo del AI Act (alto riesgo); saturado
57,RR. HH.,Redacción de ofertas de empleo,Empresas,YES,KILL,Commodity
58,RR. HH.,Incidencias de nómina para gestorías,Gestorías,YES,FROZEN,Mismo comprador que el NO-GO
59,RR. HH.,Subrogaciones de personal en licitaciones de limpieza,Adjudicatarias,YES,MERGE,Parte del flujo de la #1 (anexos de personal)
60,Ventas,SDR con IA / envío masivo de emails,B2B,YES,KILL,LSSI; saturado
61,Ventas,Leads de nuevas empresas del BORME,B2B,YES,KILL,Gratis o casi gratis
62,Ventas,Enriquecimiento de CRM,B2B,YES,KILL,Commodity
63,Ventas,"Leads de empresas que ganan contratos públicos (financiación, seguros, subcontratas)",Proveedores de adjudicatarias,UNK,MERGE,Igual que la #4
64,Marketing,Contenidos SEO,Pymes,YES,KILL,Carrera a la baja
65,Marketing,Ficha de Google Business Profile,Pymes locales,YES,KILL,Commodity
66,Marketing,Creatividades de anuncios,Ecommerce,YES,KILL,Herramientas nativas de las plataformas
67,Marketing,Auditoría de gasto en Google Ads,Pymes,YES,KILL,Agencias; requiere acceso a la cuenta
68,Ecommerce,Traducción de fichas de producto para marketplaces de la UE,Vendedores,YES,KILL,Lo hacen con ChatGPT
69,Ecommerce,Gestión de contracargos,Comercios,YES,KILL,Chargeflow
70,Ecommerce,Contracargos de Redsys,Comercios españoles,UNK,KILL,Sin API ni acceso
71,Ecommerce,Monitorización de precios,Ecommerce,YES,KILL,Prisync
72,Ecommerce,Reembolsos de Amazon FBA,Vendedores,YES,KILL,Getida
73,Ecommerce,Fichas de producto conformes al etiquetado de la UE (GPSR),Vendedores,YES,KILL,Commodity; lo exigen los marketplaces
74,Logística,Auditoría de facturas de transporte,Cargadores,YES,KILL,Venta enterprise
75,Logística,Clasificación arancelaria (códigos TARIC),Exportadores,YES,KILL,Responsabilidad; agentes de aduanas
76,Logística,Tratamiento de documentos CMR,Transportistas,YES,KILL,Incluido en los TMS
77,Logística,Paneles de tacógrafo y descansos,Transportistas,YES,KILL,Software de flotas
78,Seguros,Recepción de siniestros para corredores,Corredores,YES,KILL,Mismo núcleo que las facturas; no validado
79,Seguros,Comparativa de pólizas para pymes,Pymes,YES,KILL,Distribución de seguros regulada
80,Seguros,Cotizador de seguros de caución para licitadores,Pymes licitadoras,YES,MERGE,Igual que la #4; requiere licencia de mediador (o asociarse con uno)
81,Finanzas,Paneles de previsión de tesorería,Pymes,YES,KILL,Incluido en bancos y ERP
82,Finanzas,Revisión de condiciones de TPV y comisiones de pago,Comercios,YES,KILL,Datos bancarios de difícil acceso
83,Finanzas,Preparación de expedientes de crédito,Pymes,YES,KILL,Intermediación regulada
84,Datos,Seguimiento de cambios normativos en el BOE por sector,Equipos de cumplimiento,YES,KILL,Muchas alertas gratis
85,Datos,Datos de mercados de energía,Pymes,WEAK,KILL,OMIE es gratis
86,Datos,Tendencias de precios de adjudicación por CPV y órgano,Licitadores,UNK,MERGE,Parte de la #5
87,Datos,Tracker de convocatorias de empleo público,Candidatos,YES,KILL,B2C; academias
88,Desarrollo,Servidores MCP para empresas SaaS,SaaS,YES,KILL,Sin distribución
89,Desarrollo,Evaluaciones de agentes,Equipos de IA,YES,KILL,Incumbentes con mucha financiación
90,Desarrollo,Implantación de Claude Code en pymes,Pymes,UNK,KILL,Vago; demanda sin evidencia
91,Desarrollo,Automatizaciones n8n/Make llave en mano,Pymes,YES,KILL,Saturado de freelancers
92,Educación,Tutor de oposiciones,Opositores,YES,KILL,B2C; academias
93,Educación,Temario para academias de oposiciones,Academias,YES,KILL,Derechos de autor; editoriales
94,Agricultura,Trámites de la PAC,Agricultores,YES,KILL,Cooperativas y gestorías
95,Agricultura,Cuaderno de campo digital,Agricultores,YES,KILL,Apps de las cooperativas
96,Automoción,Registro de facturas de talleres,Talleres,YES,FROZEN,Igual que las facturas
97,Local,Presupuestos de reformas desde fotos,Reformistas,YES,KILL,Mucho error y responsabilidad
98,Local,Seguimiento de licencias de actividad,Comercios,UNK,KILL,Datos municipales fragmentados; ticket bajo
99,Sector público,Asistencia a pequeños ayuntamientos en la redacción de pliegos,Ayuntamientos,YES (asistencias técnicas),KILL (for now),El comprador es la Administración: ciclo de contratación largo; tema a reabrir cuando haya tracción
100,Sector público,Formación en contratación pública para pymes,Pymes,YES,KILL,Cursos abundantes; poca palanca
101,Quant,Paquetes de datos de horarios de mantenimiento de brókeres de oro,Traders,WEAK,KILL,Sin disposición a pagar
102,Quant,Estrategias de XAUUSD,Capital propio,—,ARCHIVED,NO EDGE
